Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefonos
Centro Hospitalario del Norte Gustavo Saint-Bois,Montevideo,Montevideo,Cno. Fauquet 6358 12500 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-General-Gustavo-Saint-Bois--5215,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipN8vY1mQ2g3zn7jbwUWqETNZ6smZwbcg6BnT_Fi=w408-h545-k-no,3478828,5624331,Espacio cerrado,Todas,Grupo,10,,Hospitales,23228080
Vilardebó,Montevideo,Montevideo,11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,,• Se recomienda traer tapabocas,,3487787,5618361,Espacio cerrado,Todas,Grupo,10,,Hospitales,0
Dirección Nacional de Sanidad de las Fuerzas Armadas,Montevideo,Montevideo,Av. 8 de Octubre 3020 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.dnsffaa.gub.uy/,• Se recomienda traer tapabocas,http://www.dnsffaa.gub.uy/,3488366,5615742,Espacio cerrado,Todas,Grupo,10,,Hospitales,24876666
Dirección Nacional de la Sanidad Policial - Hospital Policial,Montevideo,Montevideo,Bv. José Batlle y Ordóñez 3574 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://sanidad.minterior.gub.uy/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipOWRhMeHWuIodPH-OnY0I2mex7LD7kPESlRV8ds=w408-h306-k-no,3486845,5616333,Espacio cerrado,Todas,Grupo,10,,Hospitales,20301000
D.N.AA.SS,Montevideo,Montevideo,Bv. José Batlle y Ordóñez 3574 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.dnsffaa.gub.uy/,• Se recomienda traer tapabocas,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xquw6l2leHAX_XT0kpYlTw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=222.37218&pitch=0&thumbfov=100,3486724,5623392,Espacio cerrado,Todas,Grupo,10,,Hospitales,0
Sanatorio Maternidad CASMU IAMPP,Montevideo,Montevideo,Av. Gral. Garibaldi 2644 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://casmu.com.uy/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipOdgLvuElJw7oKRZLRot7A6g4g4xE7_kJ5hNnyz=w408-h295-k-no,3486724,5623392,Espacio cerrado,Todas,Grupo,10,,Hospitales,24872125
Hospital Británico de Montevideo,Montevideo,Montevideo,Av. Italia 2420 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/hospitalbritanicouruguay/,,http://www.hospitalbritanico.com.uy/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipNKbevRdMYsrPiJ7Dn_mVjCQRlIU64law43ZURi=w408-h300-k-no,3486724,5623392,Espacio cerrado,Todas,Grupo,10,,Hospitales,24871020
Farmacia Machado,Montevideo,Montevideo,Bv. Gral. Artigas 2947 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/FarmaciaMachado/?locale=es_LA,,https://uy.todosnegocios.com/farmacia-machado-2203-5308,Medicamentos disponibles,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,22035308
Farmacia Larrañaga,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3149 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.latinoplaces.com/montevideo/farmacia-larranaga-668581,Medicamentos disponibles,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oE-SsCGdn6_xid_8xIulQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.43521&pitch=0&thumbfov=100,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,24817976
Farmacia Zeus,Montevideo,Montevideo,Av. Gral. Flores 2654 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.planetauruguay.com/farmacia-zeus-montevideo-F1608C707,Medicamentos disponibles,https://www.planetauruguay.com/farmacia-zeus-montevideo-F1608C707,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,0
