Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefonos
Estación de Servicio AXION,Montevideo,Montevideo,4QWG+RJ7 San Quintín 11900 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipPfKxwgBzFYroFjStY9i02cWCoE4aoOUCRJ4iLk=w408-h306-k-no,3485781,5626671,Ambas,Todas,Grupo,10,,Estaciones de Servicio,23055305
ANCAP,Montevideo,Montevideo,Joanicó 3615 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipP_TcE8_U1J4ardx7FemXJ9DwidPnbNF-0Eeuw=w513-h240-k-no,3485781,5626671,Ambas,Todas,Grupo,10,,Estaciones de Servicio,25089234
Estacion de servicio,Montevideo,Montevideo,Uruguayana 3524 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.transportecarretero.com.uy/estaciones-de-servicio.html,Nafta y viveres,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YHj45C_tUlpRUW53xBS9CQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.36336&pitch=0&thumbfov=100,3485781,5626671,Ambas,Todas,Grupo,10,,Estaciones de Servicio,0
ANCAP Prado,Montevideo,Montevideo,Avda. Millán 3771 Av. Joaquín Suárez y 11700 Montevideo,0:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipOkFFYJJYmQkiqKTC9_BJ8OVrOEVnDz8GiHHDCo=w408-h725-k-no,3485781,5626671,Ambas,Todas,Grupo,10,,Estaciones de Servicio,23362197
Ancap,Montevideo,Montevideo,Av. Luis Alberto de Herrera 1356 11300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipP4mZx1ErKnw_7rRpV6LIMXJOhA4L2cHcuQsbKw=w426-h240-k-no,3485781,5626671,Ambas,Todas,Grupo,10,,Estaciones de Servicio,26285868
ANCAP,Montevideo,Montevideo,Pres. Ing. José Serrato 3250 12000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipORtTRkKNDtIr24hW3LF71_SWg9EZmqP1Qm2NZe=w426-h240-k-no,3483761,5621863,Ambas,Todas,Grupo,10,,Estaciones de Servicio,25083927
Seccional N° 13 Policia de Montevideo,Montevideo,Montevideo,Bv. Gral. Artigas 3145 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipOZEVh_S_xjy8YtrfYLF_BiAnxdqbFePnW5p2_s=w426-h240-k-no,3486986,5620663,Espacio cerrado,Todas,Grupo,10,,Seccionales,22036085
Seccional N° 19 Policia de Montevideo,Montevideo,Montevideo,Av. Carlos María Ramírez 181 11900 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/transparencia-jpm/seccionales-jpm,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipOAvSw6LUEszAHkjdgadaVpRNFIzdOpAQVOP8JB=w426-h240-k-no,3485698,5625964,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302319
Seccional N° 4 Policía de Montevideo,Montevideo,Montevideo,C. Miguelete 1973 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipOzMqqqdunH5mkkBFwjWNi9RlBoH4URuiAAKFNA=w426-h240-k-no,3489319,5621203,Espacio cerrado,Todas,Grupo,10,,Seccionales,24083687
Seccional N° 9 Policía,Montevideo,Montevideo,casi Garibaldi Luis Sambucetti 2687 11600 Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipPIWz53JtnvpUHw2nhmrg8ScG4jwNUCwUbpGeca=w426-h240-k-no,3489319,5621203,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302523
Seccional N° 3 Policía,Montevideo,Montevideo,Paysandú 1230 11100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.minterior.gub.uy/,Seccional oficial,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G4SF96h-3S7PmCSyrnCmYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.82628&pitch=0&thumbfov=100,3489319,5621203,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302303
Seccional N° 17 Policía de Montevideo,Montevideo,Montevideo,5R7G+FV8 Blvr. Aparicio Saravia 12300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipNJ0nC4KEnV4h-v_jhEmSqkxQMrkIgInG5q0vvE=w408-h725-k-no,3483634,5620781,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302317
Seccional N° 7 Policía de Montevideo,Montevideo,Montevideo,Felix Maria Olmedo 3670 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/transparencia-jpm/dependencias-de-la-jefatura/division-1?id=1300,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipPiFPscRK-NrRRstoTfgnrxKf60vqjhUk9XUXPJ=w408-h302-k-no,3486424,5624366,Espacio cerrado,Todas,Grupo,10,,Seccionales,23093306
Seccional 1° de Policia | Jefatura de Policía de Montevideo,Montevideo,Montevideo,25 de Mayo 236 11000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipPpZ4CeBKatbSxA7ewVGmxfVgSio23C65TB6N--=w426-h240-k-no,3490767,5624586,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302301
Seccional N° 6 Policía de Montevideo,Montevideo,Montevideo,Av. Agraciada 2473 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipMtYJBPF8MAWNwfDxcKSwZ5EH_HVM71hkm6cvg6=w408-h244-k-no,3490767,5624586,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302306
Seccional N° 12,Montevideo,Montevideo,Av. Millán 3946 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://guiaderecursos.mides.gub.uy/72745/seccional-12-montevideo?recursoid=71744,Seccional oficial,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VZwQ3YD4NOGQhhZBLvAKsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=112.93564&pitch=0&thumbfov=100,3485463,5623185,Espacio cerrado,Todas,Grupo,10,,Seccionales,23362145
Seccional N° 15 Policía de Montevideo,Montevideo,Montevideo,Av. 8 de Octubre 3720 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://sitiosdememoria.uy/smlg-uymo-71,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipNzCftDDjAL3G5guqr_Zz7R6L3DJ__uY2D_aigg=w426-h240-k-no,3487559,5617624,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302315
Seccional N° 14 Policía de Montevideo,Montevideo,Montevideo,Av. Italia 5569 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipOfoV9rt3hDwXpausSvcGFE78zgtXEDyYaOkPa2=w408-h254-k-no,3488339,5612623,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302597
Seccional N° 25 Policía de Montevideo,Montevideo,Montevideo,Sin Número esquina Susana Pintos 12100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=68xtHOvCWC3wE4DbRj8V_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.93974&pitch=0&thumbfov=100,3483721,5615106,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302761
Seccional N° 5 Policía,Montevideo,Montevideo,Joaquín de Salterain 1221 11200 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/seccionales-jpm/seccional-5ta,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipMvvIo_lqzu9Knv445WSCx-9eKc-edEJtcrjIU_=w408-h306-k-no,3490662,5620487,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302305
Seccional N° 24 Policía de Montevideo,Montevideo,Montevideo,C. Prusia 1895 12800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/seccionales-jpm/seccional-24ta,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipNqr4DiVlCehBWgqIRjhGTGlUZwOyeXzWkW9Jog=w426-h240-k-no,3488740,5628787,Espacio cerrado,Todas,Grupo,10,,Seccionales,23111145
Seccional 18 | Jefatura de Policía de Montevideo,Montevideo,Montevideo,Gianino Castiglioni 7509 12200 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipNLf7rf_heN38J9Dm1MmCOJklV7KWHEzEUXZ8sY=w408-h306-k-no,3480059,5615690,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302318
Seccional 16 de Policia | Jefatura de Policía de Montevideo,Montevideo,Montevideo,Carreras Nacionales 3407 12000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.minterior.gub.uy/,Seccional oficial,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PaHuows6NxmmmwUL0sb52A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=246.40208&pitch=0&thumbfov=100,3486986,5624165,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302630
Seccional N° 21 de Policía de Montevideo,Montevideo,Montevideo,Alberico Passadore 1937 12400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/seccionales-jpm/seccional-21ra,Seccional oficial,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5eMl2pc2OPbDG1UzR8ZFaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.37&pitch=0&thumbfov=100,3480469,5629136,Espacio cerrado,Todas,Grupo,10,,Seccionales,23200214
Seccional N° 11 Policía de Montevideo,Montevideo,Montevideo,4V4Q+MJ7 Velsen 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://guiaderecursos.mides.gub.uy/72744/seccional-11-montevideo?recursoid=71744,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipM0ssjc8rYpD0O58P7kBY4cMBSRe7ItFnGHCOKB=w533-h240-k-no,3489334,5618099,Espacio cerrado,Todas,Grupo,10,,Seccionales,26134541
Comisaría N° 10,Montevideo,Montevideo,3RVX+5W2 Gabriel A. Pereira 11300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php,Seccional oficial,https://lh5.googleusercontent.com/p/AF1QipMNOsR0jFPF1Kil3GKIiKH2S14-IFWAGJ2SSTXw=w426-h240-k-no,3489334,5618099,Espacio cerrado,Todas,Grupo,10,,Seccionales,20302310
Cerrajería VTR,Montevideo,Montevideo,Bv. Gral. Artigas 3126 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://vtrcerrajeria.wixsite.com/cerrajeriavtr,Cerrajeria oficial,Cerrajeria oficial,3490917,5625993,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,98423549
CERRAJERIA La Llave MONTEVIDEO,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3661 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajerialallave-locksmith.negocio.site/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipOmRkIhbQ4p1vNLbazz4dNnbdMygAnllgtaAocb=w427-h240-k-no,3490917,5625993,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,98171830
Cerrajeria tres cruces,Montevideo,Montevideo,shopping tres cruces (nivel de estacionamiento -2) 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/cerrajeriatrescruces/,,https://www.trescruces.com.uy/local/cerrajeria/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipPO2Rndx7JrrJTLf65vLV8DVszMqHLZFJnl7MY9=w426-h240-k-no,3490917,5625993,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,24024988
Cerrajería La Blanqueada,Montevideo,Montevideo,Av. Luis Alberto de Herrera 2931 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajeria-la-blanqueada.negocio.site/?utm_source=gmb&utm_medium=referral,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipOEF8erq-Z_z8iGNdwZKhG7AacljLGfuwAYsGFf=w427-h240-k-no,3487550,5622843,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,24878973
Cerrajeria Jacinto Vera servicio de urgencias,Montevideo,Montevideo,Dr. Martín C. Martínez 3043 11810 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajeriamontevideo.com/cerrajeros/cerrajeria-en-jacinto-vera/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipOX4mKtPcn6wnIt8hbklfCdJ9tzFgbbdy48bm3m=w408-h544-k-no,3487353,5624534,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,96738924
Cerrajería Betel - Automotriz - Residencial - Empresarial,Montevideo,Montevideo,Av. Gral. Rivera 3543 11300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://nicelocal.uy/montevideo/business/cerrajeria_betel_-_automotriz_-_residencial_-_empresarial_-/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipMRCLItA2Epl_2OsaPNIdkQmuoSxS1JkU5qYxgo=w427-h240-k-no,3487353,5624534,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,99171670
Cerrajería VTR,Montevideo,Montevideo,Bv. Gral. Artigas 3126 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://vtrcerrajeria.wixsite.com/cerrajeriavtr,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipM26cpvg5Slz30FD6jNYxAKr2cN3Wyw0bhHOaAd=w426-h240-k-no,3487353,5624534,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,98423549
Cerrajería S y E,Montevideo,Montevideo,Av. José Belloni 4820 13000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/cerrajer%C3%ADa-s-y-e-2227-2732,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipNE6oesEmoqQSYqaHFQmZsUPgbzuQseG53sERVu=w408-h725-k-no,3481625,5620869,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,22272732
Cerrajeria Andes,Montevideo,Montevideo,Andes 1217bis 11100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/cerrajeria-andes-2903-1217,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipO4Q-K_jFOg5T415issSFvzJ_MjCUwtB3aUfAg3=w408-h249-k-no,3490881,5626800,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,29031217
Cerrajería Spikerman,Montevideo,Montevideo,Salto 1175 11200 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/people/Cerrajeria-Spikerman/100054345649444/,,https://nicelocal.uy/montevideo/repair/cerrajeria_spikerman/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipNDSc6JRtevHTkdAhvACZVs1vzQZkC7pKY4Tuwj=w408-h544-k-no,3490881,5626800,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,99669953
CERRAJERIA PABLO BERTIZ LLAVES CODIFICADAS,Montevideo,Montevideo,Dr. Juan Carlos Dighiero 2508 A 11300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/CerrajeriaPabloBertiz/,,https://uy.todosnegocios.com/cerrajeria-pablo-bertiz-llaves-094-430-244,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipO7eA1STBh0nGGfdMLZJ87t3860BrtNmm_lmy6u=w408-h408-k-no,3490881,5626800,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,94430244
Llaves De Autos - Cerrajería Lee,Montevideo,Montevideo,José Ellauri 1334 11300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajerialee.com.uy/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipNw4KZsDjihaEnwKacmhRLw9DJ4LhmuBEqhujrM=w408-h544-k-no,3490707,5621941,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,94422432
Cerrajería Leo Villa Dolores,Montevideo,Montevideo,Francisco joaquin muñoz 3388 Julio César esquina Montevideo,0:00:00,23:59:59,https://www.facebook.com/profile.php?id=100063781381276,,https://zaubee.com/biz/cerrajer%C3%ADa-leo-villa-dolores-vnpbkigq,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipPyJPq0i1dxxL87tj4DwiwPLuLoczGYLW9DU1Ci=w427-h240-k-no,3490707,5621941,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,98971279
CERRAJERÍA LA CURVA,Montevideo,Montevideo,SUPERMERCADO DISCO Av. 8 de Octubre 4786 12100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/profile.php?id=100032092346619,,https://zaubee.com/biz/cerrajer%C3%ADa-la-curva-igwhotpf,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipOwICv2iOzmr1x0DAyNSUy8br4OxPELGr_BfZRR=w408-h612-k-no,3485717,5620285,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,95686980
Cerrajería Palermo,Montevideo,Montevideo,Av. Gonzalo Ramírez 1878 11200 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajeriapalermo.uy/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipPUY7PUjBNflGC-qJ8-9jfWcpAjFzHr0tK_hvlM=w408-h306-k-no,3491207,5624431,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,94413643
Cerrajeria Cufre,Montevideo,Montevideo,Cufré 2741 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajeiacufre-com-uy.cms.webnode.es/,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipO5HzP3492O6ZIZDKzijlCW1FuiqrKcQXRLNBmp=w426-h240-k-no,3491207,5624431,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,94135744
Cerrajeria Parque Posadas,Montevideo,Montevideo,Centro Comercial de Parque Posadas Local 004 al costado de la rampa entrada por costado de tienda inglesa Matias Álvarez 11700 Montevideo,0:00:00,23:59:59,,,https://cerrajeria-parque-posadas.negocio.site/?utm_source=gmb&utm_medium=referral,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipM5XfZurbR_sFwcR-1ux5BkvSF4QaUzHrnSCMy-=w408-h306-k-no,3485597,5626484,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,99181823
Cerrajeria Dal Monte,Montevideo,Montevideo,Av. Millán 2901 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://cerrajeria-dal-monte.negocio.site/?utm_source=gmb&utm_medium=referral,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipPJBlYbbMytQEMXaO9yb0GL97ZqwiVqKvEmuf5m=w408-h337-k-no,3485597,5626484,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,94386976
Cerrajeria Migo,Montevideo,Montevideo,JUAN DANIEL JACKSON 1179 11200 Montevideo,0:00:00,23:59:59,https://www.facebook.com/profile.php?id=100064003174812,,https://uy.todosnegocios.com/cerrajeria-migo-091-333-709,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipNbmt0wGDhK3B9urVs0NkDRqHT-2Xg-fOnQyhyK=w408-h306-k-no,3490791,5624330,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,91333709
CERRAJERIA SENA,Montevideo,Montevideo,Av. Mariscal Francisco Solano López 1889 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/cerrajeria-sena_1n-094-776-569,Cerrajeria oficial,https://lh5.googleusercontent.com/p/AF1QipO6v_uW293puQb4OYALEP5dWQvUr_bRDjPhuTmj=w408-h306-k-no,3490791,5624330,Espacio cerrado,Todas,Grupo,10,,Cerrajerias,94776569
