Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefono
Bungalow with garden, swimming pool, barbecue, pool, in an excellent location!,Montevideo,Montevideo,Montevideo 11400 · ~85 km,0:00:00,23:59:59,,,,La verdadera Suit con Pool.,https://www.bing.com/th?id=ASzQltH6ZGKOTCg480x360&w=127&h=87&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3470094,5588715,Ambos,Mayores,Grupos,1,,Pool,0
Chalet con jardín, piscina, parrillero, pool,Montevideo,Montevideo,5552 Palmas Y Ombúes Montevideo 11400 · ~84 km,0:00:00,23:59:59,,,,La suit con pool mas linda.,https://q-xx.bstatic.com/xdata/images/hotel/max1280x900/334323233.jpg?k=4e91d187d7418d08c13ab203ef152eee8468dd30f5bc30917509f855dd6c48aa&o=,3489385,5609062,Ambos,Mayores,Grupos,2,,Pool,96397178
Club La Isla,Montevideo,Montevideo,Michigan 1359 Montevideo Montevideo 11400 · ~76 km,0:00:00,23:59:59,,,,Isla de pool.,,3489626,5610281,Espacio cerrado,Mayores,Grupos,298,,,0
Bar El Lobo Bar & Pool,Montevideo,Montevideo,C. Miguelete 1901 11800 Montevideo Departamento de Montevideo Uruguay,0:00:00,23:59:59,,,,Bar con poolsito.,https://lh3.googleusercontent.com/p/AF1QipPQFrPBW6HbO1h1dxKHGU5D3HcjL1SOhFs8hliB=w1080-h608-p-no-v0,3489386,5618064,Espacio cerrado,Mayores,Grupos,3,,Pool,0
Fábrica de Pastas y Cantina Blanes,Montevideo,Montevideo,Juan Manuel Blanes 997 Montevideo Montevideo 11221,8:00:00,20:00:00,https://www.facebook.com/FabricadePastasBlanes/,,,Pastas y alcohol.,https://th.bing.com/th?id=AbF/OyFrdkqAEwg480x360&rs=1&pid=ImgDet,3491114,5617394,Espacio cerrado,Mayores,Grupos,4,,Cantina,24131191
Cantinas Militares,Montevideo,Montevideo,GRAL. FLORES 3950 esq. TOBAS Montevideo · ~29 km,8:00:00,14:00:00,https://www.facebook.com/Cantinas-Militares-335115799968545/,,,Cantina de calidad militar.,https://th.bing.com/th?id=Aehc+9u4WMCZGLQ480x360&rs=1&pid=ImgDet,3486986,5617647,Espacio cerrado,Mayores,Grupos,5,,Cantina,22151155
La Chingada Cantina,Montevideo,Montevideo,Coronel Mora 549 Montevideo 11300,12:00:00,0:00:00,,,www.tripadvisor.co.uk,Tu chingada cantina.,https://th.bing.com/th?id=Ax+7mTMf5ZmLK3Q480x360&w=550&h=413&rs=1&pid=ImgDet,3491967,5616076,Ambos,Mayores,Grupos,6,,Cantina,97477434
La Cantina Del 25,Montevideo,Montevideo,Dr Jose Luis Bado 3186 Montevideo 11300,10:00:00,1:00:00,https://www.facebook.com/lacantinadel25/,https://www.instagram.com/webnode_ag/,,La cantina del 25.,https://media-cdn.tripadvisor.com/media/photo-s/12/75/f4/79/caption.jpg,3490153,5614889,Espacio cerrado,Mayores,Grupos,7,,Cantina,26288635
Cantina Rostand,Montevideo,Montevideo,Rostand 1560 11500 Montevideo Departamento de Montevideo,0:00:00,2:00:00,,https://www.instagram.com/cantinarostand/?hl=es,,Cantina Rostand for you.,https://lh5.googleusercontent.com/p/AF1QipMZHS8_nDqkrtRcSPaa-XRXy-6SotYKhCe4Nh-5=w408-h612-k-no,348897,5607317,Ambos,Mayores,Grupos,8,,Cantina,26020523
La cantina del Ale.,Montevideo,Montevideo,5Q36+XP9 Triunfo 11900 Montevideo Departamento de Montevideo,15:00:00,3:30:00,https://www.facebook.com/profile.php?id=100063910369434,https://www.instagram.com/lacantidelale/?hl=es,https://nicelocal.uy/montevideo/restaurants/la_cantina_del_ale/,La cantina del Ale, veni a gozar.,https://lh5.googleusercontent.com/p/AF1QipMehvBJk3Mr_trgmdFqo5PQ-s6Fw7SaAs6hZTLw=w408-h306-k-no,3484508,5625563,Ambos,Mayores,Grupos,9,,Cantina,96531746
La Cantina del Urreta F.C.,Montevideo,Montevideo,Canstatt 2966 11600 Montevideo Departamento de Montevideo,17:00:00,0:00:00,https://www.facebook.com/lacanti/,https://www.instagram.com/lacantinadelurreta/?hl=es,https://uy.todosnegocios.com/la-cantina-del-urreta-f-c-2481-9924,Cantina del F.C. Urreta.,https://lh5.googleusercontent.com/p/AF1QipN2fLqrXNzQ0K77HQqqVfnD9hywMIN-rEPAXRro=w408-h306-k-no,348756,5617930,Ambos,Mayores,Grupos,0,,Cantina,24819924
Cantina Patricio,Montevideo,Montevideo,Av. 8 de Octubre 3233 11600 Montevideo Departamento de Montevideo,9:00:00,22:00:00,,,https://vymaps.com/UY/Bar-Patricio-104298/,Cantina de Patricio, y no el de Bob Esponja.,https://lh5.googleusercontent.com/p/AF1QipOhHigV9P0BFzOB7Y6RmtwnTvHi4O4fllhXqTnx=w425-h240-k-no,3487568,5617930,Espacio cerrado,Mayores,Grupos,1,,Cantina,24843944
La cantina de la terminal,Montevideo,Montevideo,Galicia 911 11100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/la-cantina-de-la-terminal-099-312-966,La cantina que esta a mano, cerca de la terminal.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pd7UMYgK99ERuBetjz46ag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=347.1381&pitch=0&thumbfov=100,3490049,5621515,Ambos,Mayores,Grupos,2,,Cantina,99312966
Cantina de Manga,Montevideo,Montevideo,4Q42+9W9 12800 Montevideo Departamento de Montevideo,19:00:00,4:00:00,,,https://www.informes20.com/categorias/cantinas-48857/punta-de-manga-166,Cantina en Manga.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FWTzN1FkD9aDO3qOyP5Lng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.48024&pitch=0&thumbfov=100,3489408,5626514,Ambos,Mayores,Grupos,3,,Cantina,94871915
La cantina resto bar,Montevideo,Montevideo,Dr. Gustavo Gallinal 1989 11800 Montevideo Departamento de Montevideo,10:00:00,0:00:00,,https://www.instagram.com/cantinaobligado/?hl=es,https://nearindex.com/uy/montevideo/org-la-cantina-resto-bar,Semi Cantina, semi Bar, lo que quieras que sea.,https://lh5.googleusercontent.com/p/AF1QipN3CXmlUUYBc_3bxcZl8yHTSSGovbEtFHUGoNNg=w426-h240-k-no,3487319,5619177,Ambos,Mayores,Grupos,4,,Cantina,98299762
Kantina,Montevideo,Montevideo,Agr Francisco Ros 2748 11300 Montevideo Departamento de Montevideo,19:00:00,2:00:00,,https://www.instagram.com/cantinaobligado/?hl=es,https://salimos.uy/listado/la-cantina-del-ramirez/,La Kantina pa vos esta noche.,https://salimos.uy/listado/la-cantina-del-ramirez/,3491806,5617625,Ambos,Mayores,Grupos,5,,Cantina,27067413
Cantina El Fondín,Montevideo,Montevideo,Constituyente 1666 11200 Montevideo Departamento de Montevideo,10:30:00,17:30:00,,https://www.instagram.com/el_fondin_cantina/?hl=es,,Cantina a fondo.,https://www.instagram.com/el_fondin_cantina/?hl=es,3490616,5619779,Ambos,Mayores,Grupos,6,,Cantina,99979599
Cantina Obligado,Montevideo,Montevideo,Obligado 1174 11200 Montevideo Departamento de Montevideo,10:00:00,23:00:00,https://www.facebook.com/cantinaobligado/,https://www.instagram.com/cantinaobligado/?hl=es,https://cantinaobligado.habitueonline.com/menu,Estas obligado a venir.,https://lh5.googleusercontent.com/p/AF1QipP90aYXesXUGKzkAjMnBrBMisK9ijAV1KHH-DRk=w408-h544-k-no,3490822,5617819,Espacio cerrado,Mayores,Grupos,7,,Cantina,27067413
Cantina De Lucas,Montevideo,Montevideo,4PRX+XQQ 12600 Montevideo Departamento de Montevideo,8:00:00,0:00:00,,,https://nicelocal.uy/montevideo/restaurants/cantina_de_lucas/,Veni a la cantina de Lucas.,https://lh5.googleusercontent.com/p/AF1QipOs2E5uikVGLc0s3-vAUHk9xrT8l_2ixiIXC8pc=w408-h544-k-no,3485753,5626803,Espacio cerrado,Mayores,Grupos,8,,Cantina,0
Cantina del Mirador Rosado,Montevideo,Montevideo,Bartolito Mitre 2621 11300 Montevideo Departamento de Montevideo,9:30:00,23:15:00,https://www.facebook.com/MiradorRosadoCSyD/,,https://nicelocal.uy/montevideo/restaurants/cantina_del_mirador_rosado/,Cantina para tomarte un rico.,https://scontent.fmvd2-1.fna.fbcdn.net/v/t39.30808-6/304812455_589214609572788_2483100460915115965_n.jpg?stp=dst-jpg_p960x960&_nc_cat=100&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeH0r_qlkAOGCvC-ZkwfpJL2c9rXuWBV851z2te5YFXznelcYTD71Qy7J-wKGqa8uLtcABzE0L5AI_u-EklTiiaG&_nc_ohc=GD0cfCEB_dgAX82TirJ&_nc_ht=scontent.fmvd2-1.fna&oh=00_AfBzWrERAcTquAH2fOV_rbpwfDZ1Kn-miCZFcBPHpN_hVw&oe=63DB5927,3490708,5617415,Espacio cerrado,Mayores,Grupos,9,,Cantina,27085292
La Cantina de Garufa,Montevideo,Montevideo,4 de Julio 3171 11600 Montevideo Departamento de Montevideo,20:00:00,1:00:00,https://m.facebook.com/people/La-Cantina-de-Garufa/100076244526193/,https://www.instagram.com/lacantinadegarufa/?hl=es-la,https://lacantinadegarufa.com/,Terrible Cantina papa.,https://lacantinadegarufa.com/static/media/pizza.830c0d76.jpg,3489733,561652,Ambos,Mayores,Grupos,0,,Cantina,26228619
La Cantina Del Tito,Montevideo,Montevideo,5V68+999 Viena 12200 Montevideo Departamento de Montevideo,11:30:00,0:00:00,,,https://nicelocal.uy/montevideo/restaurants/la_cantina_del_tito/,Veni a lo del tito loco,https://lh5.googleusercontent.com/p/AF1QipOeXDdVFB8uFchZR3RzgbY4ln7LUUmoFYPuNkLg=w426-h240-k-no,3483908,5615153,Espacio cerrado,Mayores,Grupos,1,,Cantina,0
Cantina. La Piraña,Montevideo,Montevideo,5PHX+JXW Mario Arregui 12900 Montevideo Departamento de Montevideo,9:00:00,0:00:00,https://www.facebook.com/Cantina.25deagosto/,https://www.instagram.com/cantinaobligado/?hl=es,https://nicelocal.uy/montevideo/restaurants/cantina_la_pirana/,La cantina por la que paso Messi.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/307125844_461557765999800_940334476163231447_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeFKIQPW6gE85oSN93M0oHtHN7suVsq3rzk3uy5WyrevOY1-nNIQ6GhDVxlmiUCe3n91DBlfAmew4nw7jb_cQ03m&_nc_ohc=AQc6VxN3cUwAX-nbdf7&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfCDZ64N6OGusoK3VbTKjmeUjU6sYaMVS6_sDSMMAwAOsg&oe=63DAF4F5,3482089,5632007,Espacio cerrado,Mayores,Grupos,2,,Cantina,99725449
Cantina Club de Pesca El Morrito,Montevideo,Montevideo,3RJH+6CR Rambla Pte. Wilson 11200 Montevideo Departamento de Montevideo,12:00:00,23:45:00,,,https://es.foursquare.com/v/club-de-pesca-el-morrito/51741c9ee4b076a9c2809ac2,Cantina pa pescar.,https://lh5.googleusercontent.com/p/AF1QipMntrSiKbDKtNGbM9nkLGITJIT0s20T3OBR5uUx=w408-h544-k-no,3491937,5624151,Ambos,Mayores,Grupos,3,,Cantina,27113229
Cantina Del Oriental,Montevideo,Montevideo,4RJW+R2V 12000 Montevideo Departamento de Montevideo,11:00:00,0:00:00,,,https://vymaps.com/UY/Cantina-Del-Oriental-96519/,Rico rico.,https://lh5.googleusercontent.com/p/AF1QipNwZwtvke3akTrEzf9Go-8ogxwr9ATbaLFBPEch=w408-h680-k-no,3486788,5622500,Espacio cerrado,Mayores,Grupos,4,,Cantina,0
Cantina del Sanatorio Americano,Montevideo,Montevideo,Dr. Isabelino Bosch 2566 11600 Montevideo Departamento de Montevideo,7:00:00,23:00:00,,,https://uy.todosnegocios.com/cantina-del-sanatorio-americano-2708-6041,Cantina cerca del Sanatorio Americano.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xwWxpyeqLFoDyhtQzBT1UQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.97745&pitch=0&thumbfov=100,3486788,5622500,Espacio cerrado,Mayores,Grupos,5,,Cantina,27086041
Cantina Fraternidad,Montevideo,Montevideo,Heraclio Fajardo esquina chopitea 3466 Montevideo,10:00:00,1:00:00,https://www.facebook.com/cantinafraternidad/,,https://uy.todosnegocios.com/cantina-fraternidad-2215-9536,Esta cantina es una fraternidad, ideal si queres unirte a un grupo.,https://lh5.googleusercontent.com/p/AF1QipPFMMRBPGJFXyuQuymE9JlEADQ6c-VzLyUMV6U=w480-h240-k-no,3483761,5621863,Espacio cerrado,Mayores,Grupos,6,,Cantina,22159536
La Bruta Cantina,Montevideo,Montevideo,Daniel Fernández Crespo 1950 11800 Montevideo Departamento de Montevideo,11:30:00,22:00:00,https://www.facebook.com/RestauranteBruta/,https://www.instagram.com/restaurantebruta/?hl=es,,Bruta cantina loco.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/301121320_1167305577153261_7845627955200565427_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=a26aad&_nc_eui2=AeFpFXfQpEB8ZWqxHa8KyOCVUSE-kK1xlClRIT6QrXGUKe3O_a6XV3ehCsodWMzkDgHjHKkz0zVQjwbojdNHEiLO&_nc_ohc=VLBrTImH1YAAX8H9c9X&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfBhmoSwHtUQIUXZh-PaWMbiMBgk-Pdn2grVkhJEcd0GHw&oe=63DD785A,3489612,5625082,Ambos,Mayores,Grupos,7,,Cantina,91072511
Cantina de BSE by Corazonada.,Montevideo,Montevideo,Av. José Pedro Varela 3420 12000 Montevideo Departamento de Montevideo,8:00:00,21:30:30,https://www.facebook.com/people/Cantina-BSE-by-Corazonada/100054401444749/?locale=es_LA,,https://uy.todosnegocios.com/cantina-bse-by-corazonada-2901-3347,Esta cantina es del estado, asi que viene todo de arriba.,https://lh5.googleusercontent.com/p/AF1QipPeJUGwOpp20UsvXjmvGlyk89j5fpQ5NhEhGObt=w408-h545-k-no,3489612,5625082,Espacio cerrado,Mayores,Grupos,8,,Cantina,92425232
Cantina del Valle | Salón de fiestas y eventos,Montevideo,Montevideo,Julio César 1431 11600 Montevideo Departamento de Montevideo,17:30:00,20:30:00,https://www.facebook.com/cantinadelvallebyportofinouyltda,,,Cantina del valle, no de la villa.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t1.6435-9/119048689_2455450151421108_117056521417127463_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeE5qX9tnSSllJCP4Aml1dCWPyszyCsnFzs_KzPIKycXO5zx1Pn7Go_iDZ4uyqMjjm3cJozTSn3sBbn7p9JMhWit&_nc_ohc=J-YnTug-rksAX-7rHvq&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfB65vLoHvj2-12XaRrGMDkhWDuhCZydkxVw0Lq91z2XMg&oe=63FFDA67,3491051,5626737,Espacio cerrado,Mayores,Grupos,9,,Cantina,96224879
Cantina Liceo 37,Montevideo,Montevideo,4VW5+JHP Ituzaingó 12000 Montevideo Departamento de Montevideo,8:00:00,22:00:00,,,https://nicelocal.uy/montevideo/restaurants/cantina_liceo_37/,Cantina en liceo 37, pa los pibes.,https://lh5.googleusercontent.com/p/AF1QipO6WlpxInLvV1zOHi_5mp9zUXBahD0V5IxDR2eb=w426-h240-k-no,3491051,5626737,Espacio cerrado,Menores,Grupos,0,,Cantina,94819250
Cantina IPA 2.0,Montevideo,Montevideo,Av. Libertador Brig. Gral. Lavalleja 2025 11800 Montevideo Departamento de Montevideo,8:00:00,14:00:00,,https://www.instagram.com/ipacantina/?hl=es,https://nicelocal.uy/montevideo/restaurants/cantina_ipa_20/,Cantina del IPA, version 2, pasaron cosas.,https://lh5.googleusercontent.com/p/AF1QipPQaMV8mTPbchbRUCpOiU9_9uju5EeNM4aBIpA=w408-h725-k-no,3491051,5626737,Espacio cerrado,Mayores,Grupos,1,,Cantina,99479472
La Vieja Cantina,Montevideo,Montevideo,4VC3+87M Agustina Contucci de Oribe 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/profile.php?id=100064020578442,https://www.instagram.com/laviejacantina/?hl=es,,La cantina mas vieja?,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/300428478_443423291135020_7168957264963621921_n.jpg?stp=dst-jpg_p960x960&_nc_cat=105&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeEkx7ZrMrAP5juVUPL8uahTt2n7Zljjn8S3aftmWOOfxMLzUCi_cu-CD-_5jQ1e0r3yqNZaWvGO5znUKbtzESQo&_nc_ohc=DZN1B1-FD0wAX9vMlPr&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfBQHbfkuYNbt9Xzyml1yogatAogS4g0-EuVBw3qQd8OSg&oe=63DD9144,3491051,5626737,Espacio cerrado,Mayores,Grupos,2,328,,,25087944
La Cantina De Solano,Montevideo,Montevideo,Francisco Solano Antuña 2680 11300 Montevideo Departamento de Montevideo,11:00:00,23:59:59,,,,La mejor cantina del Solano.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kMNcBxuQstzfLcd1cWouEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.15384&pitch=0&thumbfov=100,3491051,5626737,Espacio cerrado,Mayores,Grupos,3,,Cantina,27138642
Cantina liceo 39 Tia Zol,Montevideo,Montevideo,Matilde Pacheco de Batlle y Ordóñez 4160 12300 Montevideo Departamento de Montevideo,8:00:00,22:00:00,,,https://cantina-liceo-39-tia-zol.negocio.site/?utm_source=gmb&utm_medium=referral,Venite a la cantina del 39, de la tia Zol.,https://lh5.googleusercontent.com/p/AF1QipMew6HhFSPycT_KGT10K6CLeFv-vAErjgbcfGNP=w408-h761-k-no,3491051,5626737,Espacio cerrado,Mayores,Grupos,4,,Cantina,94027855
Cantina Facultad Ciencias,Montevideo,Montevideo,Iguá 4225 11400 Montevideo Departamento de Montevideo,8:00:00,18:00:00,,,https://www.fcien.edu.uy/,Cantina de la Facu de ciencias.,https://lh5. googleusercontent.com/p/    AF1QipMSwA9GWElxdVHU59Zn8r2wsqpwV97TolRZGrcx=w426-h240-k-no,3491051,5626737,,Mayores,Grupos,5,,Cantina,0
