Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefono
La Azotea,Montevideo,Montevideo,Juan Manuel Blanes 930,10:00:00,22:00:00,https://www.facebook.com/AzoteaRooftop/,https://www.instagram.com/laazotearooftop/,https://bio.site/laazotearooftop,Noche en la azotea.,3491208,5617352,Ambos,Mayores,Grupo,941,Discoteca,22306835
Zodiaco Karaoke,Montevideo,Montevideo,Constituyente 1641 Esquina Roxlo,00:00:00,23:59:59,,,https://zodiacokaraoke-karaokebar.negocio.site/,El mejor karaoke.,3490586,5618321,Espacio cerrado,Mayores,Grupo,362,Discoteca,24076022
Manifiesto,Montevideo,Montevideo,Eduardo Victor Haedo 2244,00:00:00,23:59:59,,,,Club de baile,3489658,5616955,Espacio cerrado,Mayores,Grupo,149,Discoteca,11111111
El comedy bar,Montevideo,Montevideo,Rivera 3671,20:00:00,03:00:00,https://www.facebook.com/El-Comedy-Bar-208864969597255/,,,El bar de la comedia.,3488723,5619142,Espacio cerrado,Mayores,Grupo,817,Discoteca,99787800
Cuartopi,Montevideo,Montevideo,Doctor Joaquin Requena 1670,00:00:00,23:59:59,,,,Baile 24 hs.,3489348,5618814,Espacio cerrado,Mayores,Grupo,2518,Discoteca,11111111
Katrina club de baile,Montevideo,Montevideo,Avenida General Rivera 3665,00:00:00,06:00:00,https://www.facebook.com/profile.php?id=100080556663150,,,Baile nocturno.,3489960,5613647,Espacio cerrado,Mayores,Grupo,427,Discoteca,97226631
Mandinga Milonga,Montevideo,Montevideo,Mercedes 1716,21:00:00,04:00:00,https://www.facebook.com/mandingatango/,,,Milonga en baile,3489961,5615179,Espacio cerrado,Mayores,Grupo,9686,Discoteca,11111111
Phonotheque,Montevideo,Montevideo,Piedra Alta,00:00:00,23:59:59,,,,,3489566,5618740,Espacio cerrado,Mayores,Grupo,126,Discoteca,11111111
A echarle Salsita,Montevideo,Montevideo,Jose Enrique Roda 1969,00:00:00,23:59:59,https://www.facebook.com/echalesalsitaa/,,,Lugar de baile,3490847,5617784,Espacio cerrado,Mayores,Grupo,180,Discoteca,11111111
Casino Radisson Victoria Plaza,Montevideo,Montevideo,Colonia Centro de Montevideo 815,00:00:00,23:59:59,https://www.facebook.com/VictoriaPlazaCasino/,https://www.instagram.com/radisson/,,Casino de la plaza.,3490531,5620123,Espacio cerrado,Mayores,Grupo,185,Casino,29020062
Sofitel Montevideo Casino Carrasco & Spa,Montevideo,Montevideo,Rambla Republica de Mexico,00:00:00,23:59:59,https://www.facebook.com/SofitelMontevideo/,https://www.instagram.com/accor/,https://all.accor.com/hotel/7969/index.es.shtml?y_source=1_MTUzNTk2OTItNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,Casino de carrasco,3489056,5605746,Espacio cerrado,Mayores,Grupo,358,Casino,26046060
Casino Municipal Parque Hotel,Montevideo,Montevideo,Joaquin De Salterain 914 ,00:00:00,23:59:59,https://www.facebook.com/casinoparquehotelmontevideo,https://www.instagram.com/casinoparquehotel/,http://www.casinoparquehotel.com.uy/,Casinon en parque con hotel.,3490689,5617437,Ambos,Mayores,Grupo,170,Casino,29086464
Casinos del Estado Victoria Plaza,Montevideo,Montevideo,Colonia 758,00:00:00,23:59:59,https://www.facebook.com/VictoriaPlazaCasino,https://www.instagram.com/victoriaplazacasinouy/,https://www.casinovictoriaplaza.com.uy/,Casino de victoria.,3490689,5618750,Espacio cerrado,Mayores,Grupo,174,Casino,29022155
Direccion General De Casinos,Montevideo,Montevideo,Soriano 802,09:00:00,17:00:00,https://www.facebook.com/casinosdelestado/,https://www.instagram.com/casinos_uruguay/,https://www.gub.uy/ministerio-economia-finanzas/direcci%C3%B3n-general-casinos,Casinos generales.,3490851,5620099,Ambos,Mayores,Grupo,118,Casino,29015131
Casino Carrasco,Montevideo,Montevideo,Municipio E,12:00:00,17:00:00,https://www.facebook.com/casinocarrasco/,,https://casinocarrasco.com.uy/,Casino Carrasco,3487836,5609102,Espacio cerrado,Mayores,Grupo,204,Casino,11111111
Casino Maronias Centro,Montevideo,Montevideo,Av. 18 De Julio 1297,00:00:00,23:59:59,,,,Casino de Maroñas en el centro.,3490553,5619030,Espacio cerrado,Mayores,Grupo,136,Casino,29008149
Casino Maroñas Montevideo Shopping,Montevideo,Montevideo,Av.Dr.Luis a. de Herrera 1290 Montevideo Shopping,00:00:00,23:59:59,https://www.facebook.com/EntertainmentMaronas,,http://www.slotmaronas.com.uy/,Casino de Maroñas en Montevideo Shopping.,3490280,5613897,Espacio cerrado,Mayores,Grupo,9604,Casino,26225055
Casino tu mejor chance,Montevideo,Montevideo,Justicia,00:00:00,23:59:59,,,,El casino de la suerte.,3490280,5615429,Espacio cerrado,Mayores,Grupo,8931,Casino,11111111
Casino Importaciones,Montevideo,Montevideo,Justicia 2335,15:00:00,21:00:00,https://www.facebook.com/Bailacasinouruguay/,,,Casino importante.,3488682,5618180,Espacio cerrado,Mayores,Grupo,100,Casino,22000127
A 20 mts Casino Radisson con garage,Montevideo,Montevideo,Colonia 815 ,00:00:00,23:59:59,,,,A solo 20 metros el mejor casino.,3490556,5620139,Espacio cerrado,Mayores,Grupo,110,Casino,11111111
M2 Studio. New. Near Mdeo Shopping,Montevideo,Montevideo,Av.Dr.Luis a. de Herrera 1200 Montevideo Shopping,00:00:00,23:59:59,,,https://www.bing.com/th?id=A2RmL0PDWPSTvKw480x360&w=183&h=183&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,Estudio con Casino.,3490556,5620796,Espacio cerrado,Mayores,Grupo,280,Casino,11111111
Angel Tucci y Cia,Montevideo,Montevideo,Av Italia 3656,09:00:00,18:30:00,https://www.facebook.com/AngelTucci.uy/,https://www.instagram.com/angeltucci.uy/,https://tucci.com.uy/terminos-y-condiciones/,Juegos de mesa,3488689,5613635,Ambos,Mayores,Grupo,228,Pool,98546523
El Viejo Pool,Montevideo,Montevideo,Gral flores Av. Gral. Jose Garibaldi,00:00:00,23:59:59,,,,Pool para ancianos.,3487640,5618176,Espacio cerrado,Mayores,Grupo,126,Pool,11111111
Picapalos Pool,Montevideo,Montevideo,Calle Doctor Pablo de Maria Municipio B,00:00:00,23:59:59,,,,Para picarla en el poo.,3487640,5621459,Espacio cerrado,Mayores,Grupo,344,Pool,11111111
8 Perros Pool Boliche,Montevideo,Montevideo,Av. Uruguay 1150,00:00:00,23:59:59,,,,Pool fiel como el mejor amigo del hombre.,3490554,5619487,Espacio cerrado,Mayores,Grupo,399,Pool,11111111
Pool De Nando,Montevideo,Montevideo,Calle Francisco Aguilar Municipio CH,00:00:00,23:59:59,,,,En lo de nando,3491120,5616657,Espacio cerrado,Mayores,Grupo,296,Pool,11111111
Vintage Pool Pub,Montevideo,Montevideo,Pablo De Maria Y Canelones,19:00:00,04:00:00,https://www.facebook.com/profile.php?id=100047698485763,,,Pool Vintage.,3490724,5617300,Espacio cerrado,Mayores,Grupo,137,Pool,24091442
Chalet con jardin,Montevideo,Montevideo,Palmas Y Ombues 5552 ,00:00:00,23:59:59,,,,La suit con pool mas linda.,3489385,5609062,Ambos,Mayores,Grupo,258,Pool,96397178
Club La Isla,Montevideo,Montevideo,Michigan 1359 y Rambla,00:00:00,23:59:59,,,,Isla de pool.,3489626,5610281,Espacio cerrado,Mayores,Grupo,413,Pool,11111111
Bar El Lobo Bar & Pool,Montevideo,Montevideo,Camino Miguelete 1901,00:00:00,23:59:59,,,,Bar con poolsito.,3489386,5618064,Espacio cerrado,Mayores,Grupo,337,Pool,11111111
